,名前,12回目ポイント,16回目ポイント,10回目ポイント,5回目ポイント,13回目ポイント,15回目ポイント,9回目ポイント,4回目ポイント,17回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,20回目ポイント,11回目ポイント,18回目ポイント,8回目ポイント,6回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,1回目ポイント
305,明日ハレの日、ケの昨日,1831.0,1475.0,1149.0,326.0,1626.0,1128.0,1883.0,,1436.0,,,1490.0,1662.0,1082.0,1698.0,1507.0,917.0,1689.0,1662.0,1286.0,
306,明治十七年の上海アリス,1979.0,1827.0,836.0,364.0,1638.0,1236.0,1207.0,192.0,2249.0,319.0,161.0,990.0,3241.0,993.0,3236.0,1005.0,843.0,2958.0,3241.0,1390.0,49.0
307,昔話わんだーらんど,35.0,24.0,11.0,1.0,35.0,23.0,18.0,3.0,21.0,2.0,3.0,7.0,23.0,15.0,24.0,15.0,9.0,25.0,23.0,24.0,2.0
308,星の器,706.0,484.0,387.0,136.0,620.0,352.0,611.0,97.0,481.0,48.0,15.0,659.0,560.0,347.0,567.0,590.0,693.0,594.0,560.0,480.0,5.0
309,星幽剣士,101.0,99.0,,,95.0,76.0,,,102.0,,,,122.0,,112.0,,,107.0,122.0,78.0,
310,星条旗のピエロ,3665.0,1495.0,,,2582.0,1147.0,,,1457.0,,,,1174.0,,1651.0,,,1236.0,1174.0,1780.0,
311,春の氷精,63.0,42.0,27.0,,39.0,29.0,62.0,,59.0,,,,75.0,33.0,54.0,139.0,,59.0,75.0,41.0,
312,春の湊に,2062.0,1519.0,1375.0,,1855.0,1151.0,2119.0,,1130.0,,,1913.0,1273.0,1248.0,1490.0,2124.0,,1485.0,1273.0,1445.0,
313,春色小径,547.0,386.0,337.0,112.0,463.0,325.0,359.0,75.0,325.0,,,327.0,555.0,296.0,556.0,286.0,206.0,559.0,555.0,388.0,
314,春風の夢,34.0,21.0,7.0,2.0,19.0,13.0,11.0,1.0,31.0,2.0,3.0,5.0,76.0,13.0,50.0,10.0,8.0,73.0,76.0,16.0,
315,時の風,14.0,17.0,5.0,2.0,10.0,8.0,11.0,3.0,11.0,1.0,3.0,10.0,20.0,6.0,25.0,11.0,6.0,24.0,20.0,14.0,
316,時代の風の訪れ,6.0,4.0,,,2.0,2.0,,,4.0,,,,5.0,2.0,4.0,,,,5.0,2.0,
317,時代親父とハイカラ少女,324.0,165.0,236.0,,254.0,135.0,227.0,,141.0,,,508.0,150.0,208.0,162.0,349.0,,134.0,150.0,202.0,
318,暁雲,14.0,18.0,13.0,,15.0,16.0,,,11.0,,,,17.0,10.0,11.0,,,12.0,17.0,9.0,
319,暗闇の風穴,276.0,233.0,140.0,,252.0,172.0,189.0,,189.0,,,157.0,213.0,154.0,234.0,215.0,136.0,234.0,213.0,212.0,
320,暮色蒼然,56.0,54.0,51.0,,57.0,39.0,61.0,,55.0,,,46.0,64.0,32.0,72.0,66.0,25.0,70.0,64.0,37.0,
321,最も澄みわたる空と海,177.0,171.0,97.0,36.0,144.0,151.0,124.0,,182.0,,,98.0,399.0,94.0,184.0,100.0,75.0,404.0,399.0,124.0,
322,月の妖鳥、化猫の幻,294.0,168.0,164.0,36.0,210.0,141.0,198.0,31.0,146.0,33.0,,108.0,133.0,201.0,130.0,150.0,102.0,139.0,133.0,177.0,
323,月まで届け、不死の煙,6974.0,4943.0,2669.0,1283.0,5728.0,3416.0,3870.0,493.0,5921.0,724.0,,3934.0,8841.0,3521.0,8154.0,3639.0,3143.0,7901.0,8841.0,4424.0,
324,月時計,4075.0,2937.0,1526.0,781.0,3413.0,1969.0,2328.0,376.0,3757.0,385.0,131.0,2053.0,4882.0,1708.0,5602.0,2171.0,1529.0,4652.0,4882.0,2579.0,45.0
325,月見草,42.0,56.0,11.0,3.0,58.0,41.0,12.0,7.0,54.0,6.0,,18.0,80.0,22.0,69.0,15.0,8.0,84.0,80.0,69.0,
326,月輪,9.0,8.0,1.0,2.0,6.0,1.0,1.0,,18.0,,,,70.0,0.0,14.0,1.0,,14.0,70.0,7.0,
327,月面ツアーへようこそ,236.0,194.0,113.0,64.0,228.0,161.0,132.0,,153.0,,,108.0,205.0,149.0,185.0,121.0,109.0,181.0,205.0,187.0,
328,有頂天変,1649.0,1229.0,915.0,,1339.0,1011.0,1197.0,,1539.0,,,1047.0,1437.0,858.0,1464.0,1236.0,827.0,1464.0,1437.0,1443.0,
329,未知の花 魅知の旅,238.0,260.0,152.0,,178.0,252.0,330.0,,203.0,,,,227.0,150.0,193.0,,,228.0,227.0,149.0,
330,本日の一面記事,4.0,,5.0,,5.0,1.0,,,5.0,,,,1.0,2.0,3.0,,,3.0,1.0,2.0,
